DIVISION,avg_distance,count
77TH STREET,2.659944838434775,10123
SOUTHEAST,2.1012773403299367,8921
SOUTHWEST,2.698429695048029,8623
NEWTON,2.006321831330721,6972
HOLLENBECK,2.652063068802076,6100
HARBOR,4.086435019352995,5428
RAMPART,1.5781468058749544,4990
CENTRAL,1.1359326533199268,3469
HOLLYWOOD,1.4507378525724235,3268
MISSION,4.704349551986051,3084
OLYMPIC,1.8366300859836802,3047
NORTHEAST,3.893669874530819,2730
WILSHIRE,2.3276460878719276,2617
FOOTHILL,3.7491319161409304,2538
NORTH HOLLYWOOD,2.6993883415245374,2427
PACIFIC,3.7484674487812946,2023
WEST VALLEY,3.4503962231138163,1991
VAN NUYS,2.2166779608239695,1957
TOPANGA,3.4147293413919253,1590
DEVONSHIRE,3.9614856056091257,1565
WEST LOS ANGELES,4.212421657778818,1094
