DIVISION,avg_distance,count
SOUTHWEST,2.1677543082414883,8736
77TH STREET,1.7086099522330924,8674
SOUTHEAST,2.2169280856309133,8151
HOLLENBECK,2.6329433065461263,6138
WILSHIRE,2.4718269538360373,5395
HARBOR,3.898196745744567,5305
NEWTON,1.5691169967124563,5196
HOLLYWOOD,1.9483965528799314,4679
RAMPART,1.3660259483426898,4586
OLYMPIC,1.6906629552421968,4272
CENTRAL,1.001313290053231,3426
VAN NUYS,2.9352286630222473,3291
FOOTHILL,3.5485086416963894,3081
NORTH HOLLYWOOD,2.7086395696470214,2420
NORTHEAST,3.7519362519209176,2200
WEST VALLEY,2.7867245823530404,1989
MISSION,3.811903384147325,1946
PACIFIC,3.7120846169687622,1922
TOPANGA,2.9764002187394594,1574
DEVONSHIRE,3.0129714328621984,830
WEST LOS ANGELES,2.723863217325822,746
